Site,Longitude(x),Latitude(y),BIO1_Annual_mean_temperature,BIO7_Temperature_annual_range,BIO12_Annual_precipitation,BIO17_Precipitation_of_driest_quarter,Albany_thicket,Coastal_belt,Desert,Forest,Fynbos,Nama_Karoo,Savanna,Succulent_Karoo,AB_Unmodified_largely_natural_river,C_Moderately_modified_river_condition,D_Largely_modified_river_condition,EF_Extremely_modified_river_condition,Z_River_condition_no_longer_intact,Human_population_density ,Sampling_effort 
233,30.38,-26.88,15.49,26.18,831.25,31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3255.81,8694.47,13676.00,0.00,2316.15,12.02,12.00
234,30.63,-26.88,15.79,24.33,892.50,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1090.54,0.00,13676.00,0.00,3117.30,7.43,13.00
237,32.13,-26.88,21.67,21.95,639.00,32.75,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,5460.19,45248.53,0.00,0.00,778.21,1.72,82.00
238,32.38,-26.88,22.72,23.10,648.00,38.25,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,15573.51,19249.09,0.00,30145.58,0.00,0.00,115.00
240,32.88,-26.88,22.51,16.57,833.50,92.75,0.00,0.26,0.00,0.00,0.00,0.00,0.01,0.00,12373.98,0.00,0.00,0.00,0.00,43.36,358.00
245,30.13,-27.13,14.40,26.22,757.50,30.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9709.07,0.00,0.00,0.00,8319.37,2.59,219.00
246,30.38,-27.13,16.44,27.52,830.50,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,842.80,0.00,13676.00,0.00,1391.45,8.69,16.00
247,30.88,-27.13,16.93,25.22,885.25,40.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8376.94,0.00,10720.28,0.00,999.34,12.02,33.00
248,31.13,-27.13,17.99,24.00,821.50,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,181.18,1511.63,3416.90,0.00,445.59,141.72,23.00
252,32.63,-27.13,22.02,19.53,788.50,69.25,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,8840.81,0.00,0.00,0.00,0.00,1.78,12.00
259,29.88,-27.38,14.76,26.55,793.75,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1837.52,18191.88,0.00,0.00,0.00,652.61,82.00
260,30.13,-27.38,14.00,25.98,764.25,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4971.94,7133.01,0.00,0.00,54.36,58.56,111.00
262,30.63,-27.38,17.11,26.83,883.25,37.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1394.10,0.00,0.00,0.00,311.79,30.49,12.00
263,30.88,-27.38,17.43,24.17,900.50,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,8376.94,77.49,0.00,0.00,743.94,3.89,24.00
264,31.38,-27.38,19.72,20.85,751.00,43.25,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,4356.85,3195.09,0.00,0.00,26.11,12.27,64.00
265,31.63,-27.38,21.25,24.63,665.00,45.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,156.42,9076.25,2665.97,0.00,1015.34,334.15,18.00
266,31.88,-27.38,22.16,24.15,597.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,73.27,9076.25,2439.49,0.00,4317.33,7.39,14.00
268,32.38,-27.38,21.98,21.58,704.25,52.50,0.00,0.30,0.00,0.00,0.00,0.00,0.69,0.00,7333.70,19775.16,0.00,0.00,0.00,12.99,16.00
269,32.63,-27.38,22.23,18.45,768.00,74.00,0.00,0.87,0.00,0.00,0.00,0.00,0.01,0.00,4148.25,0.00,0.00,0.00,0.00,10.67,17.00
273,30.13,-27.63,17.20,26.23,786.75,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.79,3282.61,15414.45,0.00,54.36,4.37,47.00
274,30.38,-27.63,16.25,24.18,817.50,36.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1176.86,0.00,0.00,0.00,625.91,7.40,35.00
275,30.63,-27.63,15.97,24.92,888.75,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5131.59,1427.78,0.00,0.00,99.38,11.01,16.00
277,31.13,-27.63,17.42,24.05,841.75,44.25,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,10339.86,3396.07,0.00,1980.75,1413.16,18.39,21.00
278,31.38,-27.63,18.94,22.35,796.00,49.75,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,850.90,992.79,0.00,0.00,424.64,11.54,39.00
280,32.13,-27.63,20.80,19.57,802.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,15105.29,0.00,408.86,0.00,4928.67,46.91,54.00
281,32.38,-27.63,22.17,21.15,785.00,66.75,0.00,0.46,0.00,0.00,0.00,0.00,0.53,0.00,172.45,0.00,12686.51,0.00,4928.67,142.09,252.00
282,32.63,-27.63,22.19,17.23,865.50,90.50,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,2242.42,0.00,0.00,0.00,8819.57,0.00,96.00
284,24.63,-27.88,19.22,32.80,466.50,15.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,9199.49,5588.75,13135.50,0.00,7091.89,76.62,20.00
288,30.38,-27.88,17.00,27.03,818.25,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19773.01,4795.00,20558.84,0.00,1001.03,4.63,11.00
289,30.63,-27.88,16.90,27.65,839.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6660.76,5242.40,0.00,0.00,7639.70,6.55,14.00
291,31.38,-27.88,16.79,18.95,879.75,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,1645.61,3069.17,0.00,0.00,228.79,3.63,33.00
293,32.38,-27.88,22.25,20.12,892.50,95.00,0.00,0.53,0.00,0.00,0.00,0.00,0.46,0.00,24106.81,0.00,571.74,0.00,4928.67,29.26,83.00
300,30.13,-28.13,16.27,27.75,816.75,44.25,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,6346.15,2784.83,3253.85,0.00,5332.86,10.53,11.00
301,30.38,-28.13,17.05,27.10,812.75,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20593.80,9946.76,20558.84,0.00,1453.15,6.44,11.00
302,30.63,-28.13,16.42,24.62,825.00,45.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41058.48,0.00,7778.05,0.00,1998.09,183.63,10.00
304,31.13,-28.13,17.27,22.03,856.50,51.75,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,3013.08,0.00,0.00,0.00,973.74,4.72,18.00
306,32.13,-28.13,21.13,19.40,1001.50,110.75,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3819.98,0.00,0.00,0.00,175.21,45.38,114.00
307,32.38,-28.13,22.12,19.30,1016.25,125.00,0.00,0.70,0.00,0.00,0.00,0.00,0.28,0.00,23094.96,0.00,0.00,0.00,5778.26,0.95,248.00
312,28.63,-28.38,13.74,27.17,750.50,40.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9580.47,5232.90,0.00,0.00,5042.63,1.20,15.00
313,29.13,-28.38,14.10,29.35,757.25,41.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19247.15,39459.78,93.74,0.00,2872.48,1.00,18.00
314,29.38,-28.38,14.35,26.85,812.75,42.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33918.49,155.26,0.00,0.00,4453.91,5.20,28.00
316,30.13,-28.38,17.84,28.22,759.00,36.25,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,3126.65,5544.91,3253.85,0.00,760.35,6.68,33.00
319,30.88,-28.38,16.76,24.25,808.00,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,6144.97,0.00,0.00,0.00,2943.06,1.46,12.00
321,31.88,-28.38,21.89,23.05,1004.25,114.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11019.18,0.00,0.00,0.00,1763.00,0.30,11.00
323,32.38,-28.38,21.65,17.32,1225.75,180.00,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,40294.60,0.00,0.00,0.00,7057.96,906.13,236.00
325,20.13,-28.63,20.18,32.50,174.00,9.50,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,7605.41,12695.48,0.00,0.00,0.00,0.04,42.00
326,20.38,-28.63,20.51,31.88,156.00,9.25,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,2098.28,12695.48,0.00,0.00,7522.72,24.84,13.00
334,28.63,-28.63,11.92,25.82,839.50,44.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3677.91,2597.27,0.00,0.00,638.87,60.16,46.00
335,28.88,-28.63,14.11,26.07,837.75,38.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.79,14229.95,0.00,0.00,289.18,334.96,108.00
336,29.13,-28.63,17.04,27.57,1077.25,48.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5431.69,3.13,93.74,4227.33,1237.40,4.74,25.00
338,29.63,-28.63,17.55,28.33,795.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,8813.64,5984.00,0.00,0.00,8842.58,2.41,89.00
339,29.88,-28.63,18.45,29.38,731.25,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,4831.64,5984.00,3515.90,0.00,1256.69,698.70,65.00
342,30.63,-28.63,18.95,23.58,725.75,39.50,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,7069.71,4382.88,6799.41,0.00,0.00,41.59,30.00
343,30.88,-28.63,14.53,19.52,902.75,53.50,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,2263.54,6646.01,0.00,0.00,0.00,54.22,56.00
345,31.88,-28.63,21.44,21.42,1070.25,131.00,0.00,0.13,0.00,0.00,0.00,0.00,0.88,0.00,5572.22,814.34,0.00,0.00,1763.00,79.86,22.00
346,32.13,-28.63,21.27,17.58,1173.50,160.75,0.00,0.82,0.00,0.00,0.00,0.00,0.10,0.00,4689.71,0.00,0.00,96.91,1817.63,2.53,217.00
348,17.63,-28.88,22.05,25.65,63.75,8.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.17,7500.23,0.00,0.00,0.00,0.00,0.13,11.00
352,25.88,-28.88,16.89,33.95,477.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2129.84,15260.30,9769.83,701.64,3777.55,1.37,14.00
353,26.13,-28.88,16.52,34.30,517.50,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10657.57,6643.72,18655.40,774.40,3379.80,2.21,76.00
360,29.13,-28.88,14.20,20.58,1044.25,45.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.88,3.13,0.00,0.00,58.28,0.59,41.00
361,29.38,-28.88,17.16,27.17,873.50,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4731.82,14634.77,0.00,0.00,475.60,234.38,62.00
362,29.63,-28.88,17.24,27.95,815.75,36.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4655.50,23738.25,3489.67,0.00,0.00,192.80,49.00
363,29.88,-28.88,17.67,27.72,755.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,3270.63,4456.63,3515.90,0.00,1256.69,119.91,41.00
364,30.13,-28.88,18.10,28.50,725.75,33.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,2665.39,2271.02,2507.96,0.00,830.33,20.65,72.00
365,30.38,-28.88,17.14,23.45,784.75,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,4077.39,5543.13,11388.84,0.00,1729.80,64.13,19.00
366,30.63,-28.88,15.70,20.78,878.25,50.50,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,1823.64,8533.80,6799.41,0.00,769.03,13.42,31.00
367,30.88,-28.88,18.94,19.90,831.50,56.50,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,519.20,9292.26,0.00,0.00,1636.60,35.60,19.00
368,31.13,-28.88,19.87,21.92,889.50,68.00,0.00,0.06,0.00,0.00,0.00,0.00,1.00,0.00,3565.64,288.03,0.00,0.00,847.50,60.51,12.00
369,31.38,-28.88,18.69,17.85,1040.25,89.25,0.00,0.25,0.00,0.00,0.00,0.00,0.76,0.00,716.01,5406.20,0.00,0.00,2444.50,4.39,81.00
370,31.63,-28.88,20.39,20.47,1113.00,125.50,0.00,0.68,0.00,0.00,0.00,0.00,0.31,0.00,4082.51,8795.42,0.00,0.00,7364.22,132.03,57.00
371,31.88,-28.88,21.02,18.22,1118.50,145.75,0.00,0.68,0.00,0.00,0.00,0.00,0.01,0.00,2702.66,8751.81,0.00,0.00,378.94,14.81,222.00
380,26.13,-29.13,15.70,32.73,515.50,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4862.71,8699.09,884.26,0.00,1328.14,11.04,92.00
384,29.38,-29.13,10.67,22.65,986.00,42.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1446.59,5735.63,0.00,0.00,543.13,0.43,52.00
385,29.63,-29.13,15.00,25.68,950.25,42.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4082.76,2810.77,0.00,0.00,0.00,1.02,30.00
386,29.88,-29.13,15.37,24.93,869.25,41.50,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1392.45,4762.21,3463.45,0.00,3915.27,6.03,33.00
388,30.38,-29.13,15.14,23.65,888.75,49.25,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,572.91,4423.52,0.00,0.00,1048.13,15.35,11.00
389,30.63,-29.13,16.88,26.87,876.50,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,917.56,2902.95,0.00,0.00,656.65,6.12,54.00
391,31.13,-29.13,19.77,19.58,950.00,81.00,0.00,0.50,0.00,0.00,0.00,0.00,0.88,0.00,4057.86,288.03,0.00,0.00,676.41,66.18,17.00
392,31.38,-29.13,20.83,21.33,1035.75,111.50,0.00,0.70,0.00,0.00,0.00,0.00,0.31,0.00,3915.45,293.20,0.00,0.00,413.67,888.74,11.00
398,26.63,-29.38,15.54,33.55,580.00,38.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8729.25,2087.14,12782.52,0.00,6362.86,0.52,12.00
400,29.63,-29.38,13.06,27.28,998.50,43.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3436.57,0.00,0.00,0.00,633.41,0.08,87.00
402,30.13,-29.38,15.72,24.75,861.50,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.29,611.50,0.00,0.00,6467.81,15.30,287.00
403,30.38,-29.38,17.55,26.35,794.00,43.75,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,4180.64,200.44,6236.52,0.00,293.69,7.46,219.00
404,30.63,-29.38,17.01,25.78,881.50,57.75,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,331.41,2279.02,6236.52,0.00,432.35,72.00,27.00
406,31.13,-29.38,19.69,18.45,1004.00,97.75,0.00,0.78,0.00,0.00,0.00,0.00,0.21,0.00,2197.86,1812.30,0.00,0.00,2817.32,27.82,21.00
416,29.38,-29.63,12.17,22.80,910.75,37.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.80,0.00,0.00,0.00,1081.12,0.46,53.00
417,29.63,-29.63,15.75,25.65,913.75,38.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1513.92,0.00,0.00,0.00,633.41,26.65,35.00
418,29.88,-29.63,14.31,22.05,952.00,43.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3681.03,2633.15,0.00,0.00,63.41,100.81,59.00
419,30.13,-29.63,14.96,22.72,935.50,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7822.58,3472.81,6373.05,0.00,1393.24,6.69,97.00
420,30.38,-29.63,18.46,28.10,792.75,43.50,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,808.98,5612.75,6236.52,2046.52,484.55,1089.46,954.00
421,30.63,-29.63,19.05,21.57,854.75,63.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1478.40,5612.75,6236.52,106.36,1392.89,150.19,54.00
422,30.88,-29.63,19.14,18.23,954.00,84.25,0.00,0.55,0.00,0.00,0.00,0.00,0.48,0.00,1664.35,2330.92,1598.55,0.00,1743.55,330.23,76.00
423,31.13,-29.63,20.73,18.70,987.50,117.25,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,2443.16,1788.08,177.64,0.00,2817.32,21.37,98.00
424,25.63,-29.88,15.81,33.13,428.50,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8657.75,0.00,0.00,0.00,7403.13,0.64,10.00
427,29.13,-29.88,10.68,24.20,805.25,39.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.78,0.00,0.00,0.00,764.48,29.14,23.00
428,29.38,-29.88,13.65,29.63,1032.00,47.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2924.27,2288.96,0.00,0.00,1020.97,3.23,63.00
429,29.63,-29.88,14.08,24.67,1009.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11797.05,621.92,0.00,0.00,633.41,3.28,32.00
430,29.88,-29.88,15.53,23.95,939.00,45.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,5062.30,1351.34,0.00,0.00,3357.74,6.00,33.00
431,30.13,-29.88,15.99,22.80,906.25,49.75,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1926.08,1793.49,0.00,0.00,2240.10,16.80,13.00
433,30.63,-29.88,18.66,20.67,909.50,73.25,0.00,0.06,0.00,0.00,0.00,0.00,0.96,0.00,139.56,557.12,1366.43,106.36,751.00,12.88,33.00
434,30.88,-29.88,20.09,18.70,986.75,107.75,0.00,0.87,0.00,0.00,0.00,0.00,0.09,0.00,1714.86,1878.36,4348.13,1778.89,794.51,1278.11,288.00
440,29.88,-30.13,16.94,26.30,836.00,55.75,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,5980.22,1351.34,0.00,0.00,1128.49,106.87,18.00
441,30.13,-30.13,16.92,24.82,848.25,63.75,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,2915.75,3799.20,0.00,0.00,867.05,9.49,18.00
442,30.38,-30.13,18.46,18.40,899.00,71.75,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,5279.54,3191.08,0.00,0.00,1436.11,55.76,26.00
443,30.63,-30.13,20.45,19.15,963.25,96.75,0.00,0.57,0.00,0.00,0.00,0.00,0.45,0.00,1459.46,1670.06,0.00,0.00,401.94,48.38,14.00
448,25.88,-30.38,15.39,31.42,436.50,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3050.13,1191.12,0.00,0.00,0.00,0.41,24.00
449,26.13,-30.38,15.95,32.65,440.25,39.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21715.12,7616.01,18818.89,0.00,0.00,0.42,34.00
450,26.38,-30.38,15.45,31.07,496.75,42.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1884.04,0.00,9181.11,0.00,370.68,0.33,20.00
460,30.63,-30.38,20.64,17.65,1034.00,119.25,0.00,0.75,0.00,0.00,0.00,0.00,0.09,0.00,270.70,2048.67,754.95,0.00,391.46,310.23,27.00
462,21.88,-30.63,17.51,32.58,207.75,19.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,3686.61,0.00,0.00,0.00,7939.71,0.12,15.00
465,25.38,-30.63,16.38,32.47,397.00,39.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,2672.62,3176.07,5574.49,9415.87,1709.09,0.82,11.00
466,26.63,-30.63,15.84,30.58,537.75,47.25,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,3031.24,0.00,0.00,0.00,3380.28,0.66,24.00
467,26.88,-30.63,15.06,30.28,597.75,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9908.22,0.00,0.00,0.00,1637.19,0.48,20.00
473,28.63,-30.63,14.76,25.38,730.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249.07,6762.08,0.00,0.00,1291.70,89.54,25.00
474,29.38,-30.63,15.52,25.35,793.25,51.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6536.36,6363.56,0.00,0.00,287.63,3.87,17.00
476,30.38,-30.63,19.91,16.95,1039.75,108.25,0.00,0.94,0.00,0.00,0.00,0.00,0.06,0.00,93.03,0.00,0.00,0.00,282.83,777.82,29.00
483,27.38,-30.88,13.08,27.62,648.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1713.28,2649.19,0.00,0.00,0.00,1.25,41.00
489,27.38,-31.13,11.79,27.32,670.00,56.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3376.23,417.47,0.00,0.00,4307.85,0.74,16.00
490,27.63,-31.13,11.34,25.82,705.75,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3360.19,4578.15,0.00,0.00,0.00,1.66,19.00
491,27.88,-31.13,12.37,26.30,687.25,52.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7089.94,2602.91,0.00,0.00,6757.19,0.81,47.00
492,28.13,-31.13,15.06,25.18,718.00,46.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1355.87,12454.20,0.00,0.00,6449.04,0.45,49.00
493,28.38,-31.13,15.22,27.90,766.50,46.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.21,2505.24,0.00,0.00,6449.04,0.80,23.00
494,30.13,-31.13,20.46,16.45,1086.25,127.50,0.00,0.61,0.00,0.00,0.00,0.00,0.03,0.00,152.03,0.00,0.00,0.00,425.53,27.12,108.00
495,19.13,-31.38,16.79,28.25,274.75,23.75,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.32,2821.56,44.05,0.00,0.00,136.25,101.95,13.00
501,26.63,-31.38,12.32,30.02,580.25,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.52,2752.47,0.00,0.00,0.00,1.16,10.00
503,27.63,-31.38,15.63,25.72,628.75,47.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,786.03,3355.99,0.00,0.00,2115.96,3.37,14.00
504,27.88,-31.38,15.04,26.00,665.00,46.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1566.21,118.76,0.00,0.00,90.22,1.66,17.00
505,28.13,-31.38,15.15,25.50,708.75,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6222.52,3445.61,0.00,0.00,7065.34,3.78,11.00
506,28.38,-31.38,15.06,26.43,736.50,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,6222.52,1365.63,11262.60,0.00,3163.54,3.81,19.00
511,26.88,-31.63,15.05,26.50,565.25,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1598.47,2652.12,2987.15,0.00,1465.47,2.13,41.00
515,29.38,-31.63,19.34,16.48,1041.25,109.00,0.00,0.52,0.00,0.00,0.00,0.00,0.41,0.00,64.11,0.00,0.00,0.00,2066.91,430.85,14.00
527,18.88,-32.13,19.33,27.17,241.00,18.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.04,123.90,7092.56,5380.15,0.00,598.16,5.58,30.00
530,23.63,-32.13,15.52,28.45,285.50,40.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,1461.79,58.58,0.00,0.00,1862.74,0.35,14.00
532,25.13,-32.13,13.39,28.02,449.75,53.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.00,1783.91,3012.38,2792.94,0.00,918.76,0.38,12.00
533,25.38,-32.13,15.62,28.22,406.50,47.75,0.09,0.00,0.00,0.00,0.00,0.44,0.00,0.00,1623.90,416.79,4660.55,0.00,2173.12,0.78,13.00
538,19.13,-32.38,12.96,22.67,344.50,47.50,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.03,1985.33,1281.35,0.00,0.00,0.00,0.75,67.00
539,19.38,-32.38,16.63,25.85,250.75,29.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.42,9537.27,0.00,0.00,0.00,2921.14,3.81,36.00
543,24.38,-32.38,18.06,27.78,314.00,44.75,0.30,0.00,0.00,0.00,0.00,0.95,0.00,0.00,2165.80,9391.11,5597.75,0.00,1305.96,0.62,31.00
545,25.38,-32.38,13.94,27.18,463.25,55.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,875.38,1430.87,925.33,0.00,1013.85,0.13,21.00
550,26.88,-32.38,13.94,24.48,643.00,58.75,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,971.81,469.62,4999.22,0.00,1472.86,1.85,39.00
557,19.13,-32.63,15.29,24.30,329.50,38.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.04,524.92,0.00,9272.91,48.39,1877.16,13.36,33.00
558,19.38,-32.63,16.05,25.30,272.50,34.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.20,1384.57,0.00,0.00,0.00,2247.40,0.12,70.00
559,24.13,-32.63,17.72,28.97,300.25,43.00,0.02,0.00,0.00,0.00,0.00,0.99,0.00,0.00,6565.41,2936.14,0.00,0.00,0.00,0.43,13.00
564,26.88,-32.63,15.05,19.53,660.50,66.00,0.36,0.00,0.00,0.00,0.00,0.00,0.19,0.00,759.65,469.62,5771.60,0.00,143.69,0.79,70.00
566,27.38,-32.63,16.48,21.03,709.50,64.75,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,4013.08,16852.27,1175.41,0.00,61.21,3.99,140.00
570,18.88,-32.88,18.60,26.13,380.25,35.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,4006.10,5799.79,1937.83,4173.21,5293.70,5.28,16.00
571,19.13,-32.88,15.97,23.83,362.50,40.50,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,2338.50,5909.15,8370.28,48.39,2722.92,8.59,24.00
574,25.13,-32.88,17.34,26.38,347.00,50.25,0.74,0.00,0.00,0.00,0.00,0.24,0.00,0.00,1448.01,5462.77,413.67,4098.02,0.00,0.26,16.00
578,27.63,-32.88,17.53,19.42,796.75,80.00,0.46,0.00,0.00,0.00,0.00,0.00,0.56,0.00,2448.33,6060.85,581.10,0.00,476.04,1.53,25.00
582,18.63,-33.13,18.05,24.00,412.00,36.75,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,8881.82,4294.32,0.00,6556.95,3.07,10.00
584,19.13,-33.13,14.15,22.42,428.25,51.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,883.62,43.13,41.17,0.00,900.54,12.44,65.00
590,27.63,-33.13,18.74,17.55,791.75,111.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282.48,271.06,0.00,0.00,476.04,40.93,18.00
594,18.88,-33.38,17.14,22.92,544.50,51.50,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,901.91,4856.39,11715.65,0.00,3391.13,33.57,32.00
